Date,Upper West Side,Upper East Side,East Brooklyn,Washington Heights,Astoria-Long Island City,Williamsburg,Bedford-Stuyvesant,Flatbush,Jamaica,Harlem,Williams Bridge,East Harlem,Corona,Sunset Park,Borough Park,Bensonhurst,Soundview,Lower East Side,Canarsie,South Bronx,Flushing,Gravesend-Sheepshead Bay,Forest Hills,East Village,Ridgewood,Jackson Heights,Mapleton-Flatlands,Queens Village,Park Slope,Gramercy,Brownsville,Woodhaven-Richmond Hill,Bay Ridge,Bayside,Maspeth,Hamilton Heights,Chelsea,Woodside,Sunny Side,Greenwich Village,Coney Island,Morningside Heights,Parkchester,Dyker Heights,Wakefield-Williamsbridge,Morris Park,Saintalbans,Throggs Neck,Whitestone,Fort Green,Greenwood,Kings Bridge,Glendale,Middle Village,Clinton,Financial District,Auburndale,Laurelton,Rosedale,Howard Beach,College Point,Ettingville,Douglastown-Little Neck,Great Kills,West Village,Nkew Gardens,North Sutton Area,Midtown,Port Richmond,Baychester,Spuyten Duyvil,The Rockaways,Battery Park,Ardon Heights,Mariners Harbor,Riverdale,Oakwood,Carroll Gardens,Boerum Hill,Rosebank,Rossville,Murray Hill,Tottensville,Huguenot,Downtown,Richmondtown,Eastchester,Prince's Bay,Midland Beach,Little Italy,South Beach,Springfield Gardens,Country Club,Cobble Hill,Woodlawn-Nordwood,Annandale,Clearview,New Brighton,Woodrow,Westerleigh-Castleton,Garment District,Todt Hill,City Island,Utopia,Bloomfield-Chelsea-Travis
2011-12,3146,2985,1560,1918,1719,2152,1667,1597,1624,2342,1533,2524,1653,1658,1648,1593,1523,3109,1554,1562,1703,1596,1657,3233,1635,1643,1526,1642,2152,3101,1534,1624,1661,1770,1675,2320,3387,1687,1671,3408,1676,2613,1499,1645,1525,1532,1628,1572,1745,2160,1811,1523,1625,1696,3197,3244,1768,1627,1619,1622,1686,1821,1743,1825,3441,1634,3202,3304,1814,1547,1626,1614,3273,1810,1811,1652,1809,2084,2203,1796,1799,3022,1925,1874,2298,1831,1552,1981,1833,3555,1797,1618,1584,2101,1512,1903,1757,1836,1827,1807,3083,3105,1614,1792,1797
2012-01,3107.298353,2980.815375,1562.612537,1906.208028,1712.001881,2175.108847,1667.185078,1590.498548,1612.408985,2342.424912,1514.807947,2509.740978,1666.189149,1658.221717,1645.274641,1592.490406,1500.864942,3091.36349,1542.693958,1529.746882,1701.046663,1585.518903,1645.274641,3177.01338,1639.299067,1636.31128,1515.803876,1641.290925,2177.100705,3063.477479,1529.746882,1624.360133,1677.144368,1768.769832,1688.099586,2333.461552,3326.402724,1690.091444,1669.176936,3343.333516,1673.160652,2635.228026,1497.877155,1647.266499,1518.791663,1505.844587,1617.38863,1554.645106,1743.871608,2186.064066,1823.545925,1505.844587,1632.327564,1704.034449,3175.021522,3239.756905,1762.794258,1618.384559,1616.392701,1628.343849,1690.091444,1801.635487,1739.887892,1802.631416,3359.26838,1628.343849,3159.086659,3249.716194,1814.582564,1516.799805,1624.360133,1613.404914,3272.62256,1792.672127,1812.590706,1643.282783,1798.647701,2096.430459,2213.950077,1796.655843,1788.688411,3006.709528,1894.256881,1844.460433,2313.542973,1812.590706,1541.698029,1945.049258,1813.586635,3522.600729,1787.692482,1610.417127,1560.620679,2103.401962,1505.844587,1885.29352,1752.834968,1815.578493,1805.619203,1802.631416,3066.465266,3024.63625,1594.482264,1782.712837,1797.651772
2012-02,3119.152998,2990.180386,1559.576499,1898.873676,1728.23299,2196.502779,1659.778297,1592.3157,1594.299894,2332.420069,1504.019066,2484.210912,1681.604431,1652.833618,1641.920551,1595.291991,1489.137611,3105.263639,1536.758268,1507.987454,1706.406856,1589.339409,1643.904745,3149.908005,1633.983774,1644.896842,1509.971648,1640.928454,2195.510682,3061.611371,1525.8452,1619.102319,1688.54911,1775.853647,1696.485886,2341.348942,3287.809489,1703.430565,1678.62814,3312.611914,1671.683461,2657.827888,1502.034872,1640.928454,1517.908424,1493.105999,1598.268282,1540.726656,1741.130252,2204.439555,1843.316243,1492.113902,1629.023289,1707.398953,3167.765751,3258.046579,1767.916871,1595.291991,1600.252476,1622.07861,1694.501692,1787.758811,1748.074931,1790.735102,3313.604011,1622.07861,3153.876393,3245.149318,1810.577042,1503.026969,1624.062804,1605.212961,3286.817392,1776.845744,1814.54543,1635.967969,1797.679781,2090.348399,2231.226174,1802.640266,1781.806229,3024.903782,1886.968512,1831.411079,2335.39636,1803.632363,1527.829394,1931.612877,1805.616557,3502.102443,1786.766714,1596.284088,1542.71085,2104.237757,1505.011163,1886.968512,1752.043319,1802.640266,1796.687684,1795.695587,3071.532341,3013.990715,1575.450051,1795.695587,1788.750908
2012-03,3128.888819,2983.978089,1557.543899,1901.583659,1764.559227,2230.836609,1657.108414,1584.160155,1577.259644,2310.685379,1494.453513,2440.809299,1699.497267,1653.165265,1632.463732,1595.989602,1481.638278,3105.229925,1520.083982,1497.410875,1714.284076,1587.117517,1656.122626,3143.675628,1621.620072,1665.980499,1498.396662,1641.335817,2207.177715,3052.983199,1522.055557,1604.861688,1682.738883,1784.274973,1712.312501,2329.415337,3314.216827,1729.070885,1705.41199,3331.960998,1659.079988,2662.611437,1510.226109,1632.463732,1512.197684,1482.624066,1578.245431,1527.97028,1735.971396,2222.950311,1848.351146,1479.666704,1620.634284,1715.269863,3153.533501,3249.154867,1776.388674,1572.330708,1580.217006,1606.833263,1697.525692,1783.289185,1757.658716,1787.232334,3322.103126,1613.733773,3136.775117,3252.112229,1803.990718,1497.410875,1623.591646,1592.046453,3266.899038,1771.459738,1808.919654,1624.577434,1800.047569,2101.698476,2250.552355,1794.132845,1778.360249,3011.580133,1875.953189,1822.720676,2365.889466,1803.990718,1507.268747,1922.285191,1807.933867,3516.303219,1790.189696,1578.245431,1523.041344,2125.357371,1504.311386,1885.811062,1754.701354,1787.232334,1793.147058,1790.189696,3063.826859,2990.8786,1555.572324,1815.820165,1783.289185
2012-04,3155.631879,2970.643169,1560.596246,1913.845963,1808.559836,2278.903471,1668.834321,1582.243861,1580.275896,2305.470998,1499.589331,2413.709074,1718.033446,1661.946443,1629.475021,1596.019616,1495.653401,3122.176474,1518.284998,1508.445173,1722.953358,1588.147756,1673.754233,3157.599844,1619.635196,1696.385831,1501.557296,1648.170688,2236.592223,3076.913279,1532.060753,1604.875458,1689.497953,1791.832133,1730.825218,2332.038526,3368.172099,1755.424781,1726.889288,3370.140064,1657.026531,2678.400366,1509.429156,1634.394933,1526.156858,1480.893663,1580.275896,1539.932613,1736.729113,2246.432048,1850.871083,1481.877646,1613.731301,1729.841236,3164.487721,3272.725796,1784.944256,1571.420053,1581.259878,1597.987581,1701.305743,1795.768063,1769.200536,1802.655941,3359.316256,1616.683248,3147.760019,3276.661726,1796.752046,1499.589331,1622.587143,1590.115721,3267.805884,1782.976291,1800.687976,1622.587143,1817.415678,2142.129903,2288.743296,1806.591871,1786.912221,3026.730171,1867.598786,1826.271521,2395.997389,1820.367626,1508.445173,1924.669771,1832.175416,3548.240897,1816.431696,1579.291913,1526.156858,2175.585308,1517.301016,1898.102243,1762.312658,1788.880186,1798.720011,1792.816116,3081.833191,2976.547064,1561.580228,1840.047276,1787.896203
2012-05,3171.503447,2971.994554,1581.329113,1941.034803,1832.926535,2326.293356,1693.36859,1577.397903,1588.20873,2304.671703,1509.584535,2425.556402,1733.66349,1664.867319,1628.503629,1604.916371,1509.584535,3157.744213,1521.378164,1524.326572,1731.697885,1587.225927,1689.43738,3177.400262,1622.606815,1725.80107,1506.636128,1652.090888,2261.428396,3089.930846,1539.068608,1604.916371,1705.162219,1796.562845,1750.371131,2338.086985,3420.152463,1774.941192,1748.405526,3423.10087,1649.142481,2668.308602,1519.41256,1652.090888,1541.034213,1482.066067,1588.20873,1557.741854,1745.457119,2264.376803,1855.530991,1488.945684,1612.778791,1745.457119,3158.727016,3295.336554,1789.683228,1583.294718,1597.053952,1598.036754,1706.145022,1802.45966,1776.906797,1811.304882,3407.376031,1617.692803,3167.572238,3296.319356,1781.820809,1497.790906,1625.555222,1593.122742,3278.628912,1789.683228,1780.838006,1628.503629,1835.874943,2176.907386,2312.534122,1820.150104,1790.666031,3024.083083,1854.548189,1815.236092,2427.522007,1840.788955,1511.55014,1917.447544,1853.565386,3592.142888,1847.668572,1587.225927,1539.068608,2206.391459,1532.188991,1900.739903,1768.061575,1786.734821,1794.59724,1790.666031,3093.862055,2901.232779,1576.415101,1865.359016,1791.648833
2012-06,3174.594459,2976.85864,1598.610473,1957.682979,1843.566785,2356.105897,1721.580509,1590.74039,1608.448076,2312.820444,1523.844691,2443.660563,1749.125797,1678.295056,1641.895926,1623.20448,1521.87717,3183.448302,1535.649814,1550.406219,1739.288194,1596.642952,1707.807865,3183.448302,1645.830967,1743.223236,1522.86093,1662.554892,2310.852923,3102.779958,1548.438698,1624.18824,1730.434352,1807.167654,1763.882202,2335.446931,3420.534532,1788.476209,1759.947161,3425.453333,1656.65233,2637.46134,1536.633574,1670.424974,1566.146383,1488.42932,1609.431836,1573.032705,1767.817243,2287.242676,1877.998395,1511.055807,1635.993364,1764.865962,3167.708137,3316.255941,1799.297572,1612.383117,1630.090802,1615.334398,1720.596749,1801.265093,1786.508688,1812.086456,3415.61573,1636.977124,3169.675657,3303.467057,1767.817243,1503.185725,1645.830967,1615.334398,3311.337139,1785.524928,1763.882202,1648.782248,1851.436868,2230.18458,2346.268294,1833.729182,1787.492449,3029.981696,1839.631744,1803.232613,2449.563124,1857.339429,1529.747252,1913.413766,1867.177032,3596.627624,1869.144553,1606.480555,1554.34126,2237.070902,1555.32502,1905.543684,1782.573647,1790.44373,1783.557408,1783.557408,3096.877396,2834.213398,1594.675432,1885.868478,1788.476209
2012-07,3182.463058,3012.994437,1613.893031,1959.727251,1844.449178,2374.53126,1749.862041,1598.128508,1619.804727,2315.414299,1544.923243,2459.26557,1757.744302,1680.892253,1658.230751,1648.377924,1532.114568,3205.12456,1555.761352,1568.570027,1749.862041,1614.878313,1719.318277,3200.198146,1659.216034,1752.817889,1537.040982,1686.803949,2333.149387,3118.419684,1560.687766,1634.583967,1735.0828,1817.846545,1763.655998,2328.222974,3413.019205,1796.170326,1768.582411,3441.592403,1656.260186,2611.984386,1564.628897,1681.877536,1584.33455,1512.408915,1624.73114,1579.408137,1785.332217,2303.590907,1909.477835,1532.114568,1651.333772,1773.508825,3189.360037,3328.284895,1808.979001,1638.525098,1655.274903,1629.657553,1732.126952,1773.508825,1797.155609,1789.273348,3432.724859,1651.333772,3214.977386,3325.329047,1744.935627,1522.261741,1666.113013,1622.760575,3347.990548,1771.538259,1740.994496,1669.068861,1830.65522,2242.503381,2355.810889,1821.787676,1775.47939,3043.5382,1801.09674,1780.405804,2459.26557,1834.596351,1545.908526,1873.022376,1845.434461,3604.164045,1862.184266,1617.834161,1563.643614,2231.665271,1578.422854,1861.198983,1791.243913,1777.449956,1765.626563,1757.744302,3105.611009,2756.82094,1610.937183,1897.654443,1775.47939
2012-08,3190.632097,3042.709025,1608.540959,1928.877679,1816.221034,2364.809912,1753.525163,1599.724352,1615.39832,2294.277056,1553.682071,2449.05749,1741.769687,1682.012684,1662.420224,1652.623994,1535.069234,3198.469081,1566.41717,1574.254154,1738.830818,1623.235304,1707.482882,3207.285688,1647.725879,1737.851195,1538.008103,1685.931176,2341.29896,3142.630571,1554.661694,1630.092665,1724.136473,1811.322919,1739.810441,2292.31781,3394.393681,1779.974983,1749.606671,3429.660108,1653.603617,2631.267367,1569.356039,1677.114569,1590.907745,1521.354513,1623.235304,1576.2134,1778.015737,2316.808385,1937.694286,1543.885841,1645.766633,1752.54554,3201.40795,3307.207234,1796.628574,1641.848141,1654.58324,1623.235304,1724.136473,1736.871572,1790.750836,1753.525163,3416.925009,1647.725879,3248.429854,3336.595924,1718.258735,1534.089611,1672.216454,1615.39832,3350.310646,1753.525163,1720.217981,1675.155323,1786.832344,2245.295906,2355.993305,1800.547066,1758.423278,3075.036584,1750.586294,1749.606671,2452.975982,1789.771213,1555.641317,1800.547066,1801.526689,3552.112983,1835.813494,1611.479828,1552.702448,2236.479299,1593.846614,1800.547066,1780.954606,1756.464032,1740.790064,1723.15685,3116.18075,2686.126255,1612.459451,1874.998414,1749.606671
2012-09,3209.260236,3085.376938,1597.801905,1893.365993,1793.869171,2337.199855,1750.948973,1606.581036,1607.556495,2265.991346,1557.808084,2454.25494,1707.053317,1671.936791,1652.427611,1641.697561,1545.127116,3196.579268,1578.292724,1570.489051,1724.611579,1624.139299,1675.838628,3230.720334,1620.237462,1710.955153,1552.930789,1680.715923,2331.347101,3173.168251,1559.759002,1612.43379,1702.176022,1813.378352,1702.176022,2250.384001,3373.137354,1745.096219,1717.783366,3419.959388,1648.525774,2656.174961,1556.832625,1669.010414,1581.219101,1526.593395,1616.335626,1571.46451,1769.482695,2319.641593,1965.549962,1539.274362,1618.286544,1714.856989,3219.990285,3310.707976,1798.746466,1631.942971,1638.771184,1614.384708,1709.979694,1733.390711,1785.09004,1745.096219,3398.499289,1629.992053,3284.370581,3348.750878,1706.077858,1535.372526,1669.985873,1597.801905,3357.530009,1762.654482,1711.930612,1677.789546,1763.629941,2236.727575,2353.782659,1788.016417,1760.703564,3106.837037,1712.906071,1740.218924,2452.304022,1760.703564,1551.95533,1737.292547,1767.531777,3513.603455,1812.402893,1606.581036,1545.127116,2240.629411,1589.998232,1763.629941,1765.580859,1744.12076,1726.562498,1706.077858,3135.125349,2620.082977,1608.531954,1868.004058,1753.875351
