neighborhood,borough,number_of_posts,number_of_illegal_posts,percent_illegal,proportion_of_posts,proportion_of_illegal_posts
Upper West Side,Manhattan,1790,1357,0.758100559,0.013804698,0.010465349
Upper East Side,Manhattan,1512,1131,0.748015873,0.011538902,0.008631282
East Brooklyn,Brooklyn,130,52,0.4,0.002096436,0.000838574
Washington Heights,Manhattan,926,526,0.568034557,0.015293904,0.008687466
Astoria-Long Island City,Queens,1107,622,0.561878952,0.013626125,0.007656233
Williamsburg,Brooklyn,4141,2456,0.593093456,0.046694932,0.027694459
Bedford-Stuyvesant,Brooklyn,3231,1693,0.523986382,0.026295657,0.013778566
Flatbush,Brooklyn,0,0,,,
Jamaica,Queens,76,22,0.289473684,0.001559166,0.000451338
Harlem,Manhattan,1549,904,0.583602324,0.023241856,0.013564001
Williams Bridge,Bronx,20,12,0.6,0.000532921,0.000319753
East Harlem,Manhattan,445,272,0.611235955,0.018203387,0.011126565
Corona,Queens,1,1,1,,
Sunset Park,Brooklyn,204,102,0.5,0.007224308,0.003612154
Borough Park,Brooklyn,442,231,0.522624434,0.005926681,0.003097428
Bensonhurst,Brooklyn,63,36,0.571428571,0.001546847,0.000883913
Soundview,Bronx,33,12,0.363636364,0.000734852,0.000267219
Lower East Side,Manhattan,1370,983,0.717518248,0.034251713,0.024576229
Canarsie,Brooklyn,96,27,0.28125,0.001760822,0.000495231
South Bronx,Bronx,71,28,0.394366197,0.000891568,0.000351604
Flushing,Queens,145,54,0.372413793,0.004263076,0.001587628
Gravesend-Sheepshead Bay,Brooklyn,214,100,0.46728972,0.001882096,0.000879484
Forest Hills,Queens,186,87,0.467741935,0.003386559,0.001584036
East Village,Manhattan,1802,1304,0.7236404,0.048250194,0.03491579
Ridgewood,Queens,298,136,0.456375839,0.010397404,0.004745124
Jackson Heights,Queens,307,105,0.342019544,0.003096787,0.001059162
Mapleton-Flatlands,Brooklyn,611,287,0.469721768,0.005861305,0.002753182
Queens Village,Queens,32,6,0.1875,0.000817411,0.000153265
Park Slope,Brooklyn,853,539,0.631887456,0.023563536,0.014889503
Gramercy,Manhattan,975,742,0.761025641,0.017321016,0.013181737
Brownsville,Brooklyn,100,47,0.47,0.001972387,0.000927022
Woodhaven-Richmond Hill,Queens,96,30,0.3125,0.002179243,0.000681013
Bay Ridge,Brooklyn,131,71,0.541984733,0.003551676,0.001924954
Bayside,Queens,0,0,,,
Maspeth,Queens,50,24,0.48,0.003619778,0.001737494
Hamilton Heights,Manhattan,852,469,0.550469484,0.031468144,0.017322253
Chelsea,Manhattan,1046,842,0.804971319,0.023315947,0.018768668
Woodside,Queens,136,74,0.544117647,0.0066634,0.003625674
Sunny Side,Queens,950,545,0.573684211,0.027375155,0.015704694
Greenwich Village,Manhattan,797,621,0.779171895,0.024557836,0.019134775
Coney Island,Brooklyn,10,5,0.5,0.00061361,0.000306805
Morningside Heights,Manhattan,389,219,0.562982005,0.022083452,0.012432586
Parkchester,Bronx,37,11,0.297297297,0.001071284,0.00031849
Dyker Heights,Brooklyn,28,16,0.571428571,0.001918991,0.001096566
Wakefield-Williamsbridge,Bronx,45,13,0.288888889,0.001225657,0.000354079
Morris Park,Bronx,15,6,0.4,0.000899712,0.000359885
Saintalbans,Queens,50,16,0.32,0.002283105,0.000730594
Throggs Neck,Bronx,8,2,0.25,0.0003885,9.71E-05
Whitestone,Queens,0,0,,0,0
Fort Green,Brooklyn,2555,1531,0.599217221,0.039763443,0.02382694
Greenwood,Brooklyn,125,59,0.472,0.019186493,0.009056025
Kings Bridge,Bronx,26,9,0.346153846,0.001797069,0.000622062
Glendale,Queens,14,5,0.357142857,0.001107595,0.00039557
Middle Village,Queens,49,21,0.428571429,0.002529293,0.001083983
Clinton,Manhattan,1012,757,0.748023715,0.035284683,0.02639378
Financial District,Manhattan,406,288,0.709359606,0.019416547,0.013773314
Auburndale,Queens,21,4,0.19047619,0.000634364,0.000120831
Laurelton,Queens,30,6,0.2,0.001134988,0.000226998
Rosedale,Queens,0,0,,0,0
Howard Beach,Queens,0,0,,,
College Point,Queens,0,0,,0,0
Ettingville,Staten Island,6,0,0,0.000466164,0
Douglastown-Little Neck,Queens,20,6,0.3,0.000657117,0.000197135
Great Kills,Staten Island,2,1,0.5,0.000313038,0.000156519
West Village,Manhattan,566,469,0.828621908,0.032394689,0.026842949
Nkew Gardens,Queens,95,52,0.547368421,0.002621051,0.001434681
North Sutton Area,Manhattan,77,62,0.805194805,0.002983687,0.002402449
Midtown,Manhattan,1218,872,0.71592775,0.019903587,0.01424953
Port Richmond,Staten Island,5,1,0.2,0.000827815,0.000165563
Baychester,Bronx,15,5,0.333333333,0.000991801,0.0003306
Spuyten Duyvil,Bronx,27,8,0.296296296,0.003438176,0.001018719
